date,BTC,SOL,solbtc,solbtc_ma180,solbtc_gap,solbtc_gap_lag1,btc_ma200,btc_ma200_gap
2024-01-24,40078.7,88.744,0.002214243475961047,0.0012976008058205066,0.7064134563024747,0.6387101014770242,33572.236500000006,0.19380488696366682
2024-01-25,39953.3,86.886,0.002174688949348364,0.0013049183855375673,0.6665325383184715,0.7064134563024747,33621.263999999996,0.18833426369692718
2024-01-26,41806.4,92.261,0.002206863064028474,0.0013125788252495252,0.6813185018499308,0.6665325383184715,33678.311499999996,0.2413448934338649
2024-01-27,42102.2,94.238,0.002238315337440799,0.00132050494576267,0.6950450239684935,0.6813185018499308,33735.7805,0.2479983974285105
2024-01-28,42021.2,95.948,0.002283323655678562,0.0013286925035721636,0.7184741010729656,0.6950450239684935,33794.042,0.24344995487666132
2024-01-29,43287.7,101.623,0.0023476183765827247,0.0013373286798864098,0.7554535484740572,0.7184741010729656,33853.272000000004,0.27868585346787134
2024-01-30,42918.3,101.371,0.002361952826649704,0.0013461414014259401,0.7546097491301698,0.7554535484740572,33916.397000000004,0.26541448373776255
2024-01-31,42560.5,96.912,0.0022770409182222956,0.0013544405141103554,0.6811671642279078,0.7546097491301698,33977.8175,0.25259663896893914
2024-02-01,43072.6,97.775,0.0022700045968899025,0.0013627229071450277,0.6657858945408608,0.6811671642279078,34042.0965,0.2652745990541445
2024-02-02,43182.0,100.559,0.002328724931684498,0.0013712308645257613,0.6982734212957533,0.6657858945408608,34107.376,0.266060455662142
2024-02-03,42992.4,97.915,0.0022774955573543233,0.0013794875248712376,0.6509722025698685,0.6982734212957533,34173.11,0.2580768914506173
2024-02-04,42570.3,95.451,0.0022421970246862244,0.0013874254673158458,0.616084667253546,0.6509722025698685,34236.484,0.24341915484078358
2024-02-05,42692.9,95.605,0.002239365327724282,0.0013952872905986008,0.6049492766207007,0.616084667253546,34300.993500000004,0.24465491065149458
2024-02-06,43079.1,96.856,0.0022483292362189553,0.0014031337402130738,0.6023627483133103,0.6049492766207007,34366.932,0.2535043861349042
2024-02-07,44326.2,101.135,0.002281607717331962,0.0014111608067840194,0.616830418165919,0.6023627483133103,34439.6455,0.28706899726944046
2024-02-08,45269.1,102.742,0.0022695834465452152,0.0014190673211516007,0.5993486797394532,0.616830418165919,34515.636999999995,0.31155336927433797
2024-02-09,47116.1,106.921,0.0022693092170192357,0.001427081963044857,0.5901744088877572,0.5993486797394532,34605.3985,0.3615245609727624
2024-02-10,47732.6,108.976,0.0022830518345952244,0.0014350115568796103,0.5909640752717367,0.5901744088877572,34697.98,0.3756593323300086
2024-02-11,48303.4,107.471,0.002224915844433311,0.0014428253651439663,0.5420548447395137,0.5909640752717367,34792.817,0.3883152950794413
2024-02-12,49943.6,111.737,0.002237263633378451,0.0014508412199211054,0.5420458163575681,0.5420548447395137,34896.4865,0.43119279357823026
2024-02-13,49696.4,112.539,0.002264530227541633,0.0014588995741628154,0.5522180331302968,0.5420458163575681,34998.469,0.419959255932024
2024-02-14,51823.2,117.092,0.00225945136541163,0.0014669004774871303,0.5402894743630986,0.5522180331302968,35110.889500000005,0.4759865311871403
2024-02-15,51898.5,113.598,0.002188849388710656,0.0014744013621977947,0.4845682083797589,0.5402894743630986,35224.02650000001,0.47338351565230585
2024-02-16,52148.6,110.392,0.0021168737032250147,0.0014815434437750066,0.42882998950821993,0.4845682083797589,35338.665499999996,0.47568107799656456
2024-02-17,51679.4,109.008,0.0021093124146178165,0.0014887547140584219,0.41683004910038024,0.42882998950821993,35448.556500000006,0.45787036490470334
2024-02-18,52175.9,112.345,0.0021531971657412713,0.0014963286877903376,0.4389867569276815,0.41683004910038024,35563.5855,0.46711585084692886
2024-02-19,51813.8,111.658,0.0021549857373904246,0.0015037340762942507,0.43308964754000634,0.4389867569276815,35676.7535,0.45231263825616885
2024-02-20,52297.4,108.418,0.0020731049727137486,0.0015107840943358172,0.3722046588166812,0.43308964754000634,35792.735,0.4611177379990661
2024-02-21,51877.8,105.113,0.002026165334690368,0.0015176883252496778,0.335033880791723,0.3722046588166812,35906.8355,0.4447889733975583
2024-02-22,51316.9,101.805,0.001983849375157112,0.0015243788030010921,0.3014149575233176,0.335033880791723,36018.0405,0.4247554638626163
2024-02-23,50771.9,99.973,0.001969061626608419,0.0015308930029660122,0.2862176669391536,0.3014149575233176,36125.8865,0.40541603041353746
2024-02-24,51602.1,104.114,0.0020176310654023773,0.0015377291645453824,0.3120848013563391,0.2862176669391536,36235.102,0.4240914790304715
